ENSG00000108511	HOXB6_01
ENSG00000180035	ZNF553_02
ENSG00000197841	ZNF181_01
ENSG00000197905	TEAD4HOXA3_01
ENSG00000143995	MEIS1AHOXA9_01
AML_Q6	ENSG00000135625
ENSG00000198300	PEG3_02
ENSG00000159216	AML_Q6
MSX2_03	ENSG00000197841
ENSG00000120738	EGR1_12
ENSG00000135625	KROX_Q6
FOX_Q2	ENSG00000180035
ONECUT1_01	ENSG00000181449
ENSG00000172789	HOXC5_01
ENSG00000130522	JUNDFOS_01
HDX_01	ENSG00000149948
MEIS1AHOXA9_01	ENSG00000197857
HOXC5_01	ENSG00000113430
ENSG00000113430	IRX4_01
ENSG00000148200	GCNF_01
ZNF181_01	ENSG00000110851
ENSG00000149948	HMGIY_Q3
GCNF_01	ENSG00000159184
ENSG00000066336	PU1_Q4
ZNF611_04	ENSG00000120149
IRF1_05	ENSG00000213020
ENSG00000170608	HNF3_Q6_01
TEAD4HOXA2_01	ENSG00000172789
HNF3_Q6_01	ENSG00000143995
ZNF553_02	ENSG00000108511
HOXB6_01	ENSG00000197905
ENSG00000181449	SOX2_Q3
TEAD4HOXA3_01	ENSG00000172789
PEG3_02	ENSG00000120738
IRX4_01	ENSG00000066336
ENSG00000129654	FOX_Q2
ENSG00000197905	TEAD4HOXA2_01
ENSG00000159184	HOXB13_01
FOXJ2_01	ENSG00000165259
ZNF44_02	ENSG00000148200
HOXB13_01	ENSG00000169856
ENSG00000065970	FOXJ2_01
KROX_Q6	ENSG00000125347
ENSG00000197857	ZNF44_02
JUNDFOS_01	ENSG00000159216
ENSG00000169856	ONECUT1_01
ENSG00000120149	MSX2_03
ENSG00000213020	ZNF611_04
ENSG00000110851	SC1_01
ENSG00000165259	HDX_01
HMGIY_Q3	ENSG00000130522
PU1_Q4	ENSG00000198300
SOX2_Q3	ENSG00000065970
ENSG00000125347	IRF1_05
EGR1_12	ENSG00000170608
